City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
61,Albany,US,2020-11-23 17:19:09,42.6,-73.97,42.01,79,100,4.0,overcast clouds
62,San Francisco,US,2020-11-23 17:15:41,37.77,-122.42,55.4,81,90,5.82,overcast clouds
63,Yinchuan,CN,2020-11-23 17:19:09,38.47,106.27,25.02,82,22,5.06,few clouds
64,Waitati,NZ,2020-11-23 17:19:09,-45.75,170.57,50.0,74,44,14.0,scattered clouds
65,Amapala,HN,2020-11-23 17:19:10,13.29,-87.65,86.0,62,0,2.04,clear sky
66,Ancud,CL,2020-11-23 17:19:10,-41.87,-73.82,55.0,93,90,17.22,light rain
67,Pokhara,NP,2020-11-23 17:19:10,28.23,83.98,55.4,52,1,3.91,clear sky
68,Castro,BR,2020-11-23 17:17:31,-24.79,-50.01,75.92,45,0,6.91,clear sky
69,Hassleholm,SE,2020-11-23 17:15:16,56.16,13.77,46.4,75,65,13.87,broken clouds
70,Puerto Ayora,EC,2020-11-23 17:19:10,-0.74,-90.35,75.2,78,90,10.29,overcast clouds
71,Narsaq,GL,2020-11-23 17:19:10,60.92,-46.05,23.0,53,40,2.24,scattered clouds
72,Cidreira,BR,2020-11-23 17:19:10,-30.18,-50.21,72.34,67,0,18.14,clear sky
73,Ribeira Grande,PT,2020-11-23 17:19:11,38.52,-28.7,66.2,68,20,18.34,few clouds
74,Arraial Do Cabo,BR,2020-11-23 17:15:15,-22.97,-42.03,78.8,73,75,9.17,broken clouds
75,Tasiilaq,GL,2020-11-23 17:19:11,65.61,-37.64,24.8,68,100,5.82,overcast clouds
76,Chifeng,CN,2020-11-23 17:16:02,42.27,118.96,14.38,87,1,5.12,clear sky
77,Georgetown,MY,2020-11-23 17:15:04,5.41,100.34,78.8,88,40,2.24,scattered clouds
78,Geraldton,AU,2020-11-23 17:19:11,-28.77,114.6,69.8,56,0,8.05,clear sky
79,Yumen,CN,2020-11-23 17:19:11,40.28,97.2,14.22,86,94,1.74,overcast clouds
80,Mar Del Plata,AR,2020-11-23 17:14:40,-38.0,-57.56,73.0,73,75,12.75,light rain
81,Hasaki,JP,2020-11-23 17:19:12,35.73,140.83,53.6,71,75,4.7,broken clouds
82,Lipin Bor,RU,2020-11-23 17:19:12,60.26,37.98,33.84,92,100,12.33,overcast clouds
83,Goderich,CA,2020-11-23 17:17:32,43.75,-81.72,42.01,82,100,22.57,light rain
84,Codrington,AU,2020-11-23 17:19:12,-38.27,141.97,52.5,91,100,7.4,overcast clouds
85,Olafsvik,IS,2020-11-23 17:19:13,64.89,-23.71,34.99,85,9,22.59,clear sky
86,Lauro Muller,BR,2020-11-23 17:19:13,-28.39,-49.4,81.03,50,40,5.61,scattered clouds
87,Atuona,PF,2020-11-23 17:19:13,-9.8,-139.03,77.65,74,22,14.54,few clouds
88,Motygino,RU,2020-11-23 17:19:13,58.18,94.76,7.18,95,26,1.21,scattered clouds
89,Beringovskiy,RU,2020-11-23 17:19:13,63.05,179.32,19.44,97,45,5.73,scattered clouds
90,Komsomolskiy,UZ,2020-11-23 17:19:13,40.43,71.72,24.8,79,0,4.7,mist
91,Fare,PF,2020-11-23 17:19:13,-16.7,-151.02,81.21,74,79,8.97,light rain
92,Sechura,PE,2020-11-23 17:19:13,-5.56,-80.82,77.09,51,70,11.92,broken clouds
93,Anadyr,RU,2020-11-23 17:19:13,64.75,177.48,21.2,92,75,4.47,broken clouds
94,Hermosillo,MX,2020-11-23 17:14:34,29.07,-110.97,77.0,37,75,8.05,broken clouds
95,Airai,TL,2020-11-23 17:19:14,-8.93,125.41,61.7,100,100,0.87,overcast clouds
96,Kavieng,PG,2020-11-23 17:19:14,-2.57,150.8,83.53,74,70,11.01,broken clouds
97,Preobrazheniye,RU,2020-11-23 17:18:32,42.9,133.91,24.94,89,0,9.95,clear sky
98,Saint-Philippe,RE,2020-11-23 17:19:14,-21.36,55.77,73.4,69,0,10.29,clear sky
99,Khatanga,RU,2020-11-23 17:19:14,71.97,102.5,3.81,94,96,10.51,overcast clouds
100,Velizh,RU,2020-11-23 17:19:14,55.61,31.2,39.33,87,91,9.93,light rain
101,Kargasok,RU,2020-11-23 17:19:14,59.06,80.86,13.48,97,73,5.68,broken clouds
102,Ararat,AM,2020-11-23 17:19:15,39.83,44.7,33.8,55,0,2.24,clear sky
103,Bethel,US,2020-11-23 17:18:26,41.37,-73.41,45.0,84,100,7.0,overcast clouds
104,Auki,SB,2020-11-23 17:19:15,-8.77,160.7,77.54,83,95,2.93,overcast clouds
105,Churapcha,RU,2020-11-23 17:19:15,62.0,132.43,-24.54,86,60,4.25,broken clouds
106,Huarmey,PE,2020-11-23 17:19:15,-10.07,-78.15,70.99,63,62,13.49,broken clouds
107,Aksarka,RU,2020-11-23 17:19:15,66.56,67.8,9.12,95,73,12.88,broken clouds
