City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Hilo,US,2020-11-22 17:20:20,19.73,-155.09,75.2,88,90,12.75
70,Thompson,CA,2020-11-22 17:20:20,55.74,-97.86,1.4,77,75,10.29
71,Qaanaaq,GL,2020-11-22 17:20:20,77.48,-69.36,-0.2,78,16,5.08
72,Lebu,CL,2020-11-22 17:20:20,-37.62,-73.65,60.37,69,100,8.48
73,Qaqortoq,GL,2020-11-22 17:20:20,60.72,-46.03,23.0,67,100,2.24
74,Fenoarivo,MG,2020-11-22 17:20:21,-18.93,47.44,69.8,77,40,9.17
75,Huarmey,PE,2020-11-22 17:20:21,-10.07,-78.15,70.34,65,1,11.79
76,Bluff,NZ,2020-11-22 17:20:21,-46.6,168.33,41.0,94,42,1.01
77,Ponta Do Sol,PT,2020-11-22 17:20:21,32.67,-17.1,68.0,72,40,10.29
78,Terrace,CA,2020-11-22 17:18:10,54.52,-128.6,32.0,87,90,2.33
79,Tamiahua,MX,2020-11-22 17:20:22,21.27,-97.45,77.38,74,3,6.71
80,Tasiilaq,GL,2020-11-22 17:20:22,65.61,-37.64,21.2,85,34,1.12
81,Ribeira Grande,PT,2020-11-22 17:20:22,38.52,-28.7,66.2,68,20,4.7
82,Kahului,US,2020-11-22 17:20:22,20.89,-156.47,77.0,73,40,20.8
83,Spasskoye,RU,2020-11-22 17:20:22,44.61,132.8,12.25,91,39,2.98
84,Port Lincoln,AU,2020-11-22 17:20:22,-34.73,135.87,59.38,84,96,17.43
85,Upernavik,GL,2020-11-22 17:20:23,72.79,-56.15,20.71,89,98,3.98
86,Kapaa,US,2020-11-22 17:20:23,22.08,-159.32,78.8,83,90,23.04
87,Butaritari,KI,2020-11-22 17:20:23,3.07,172.79,80.35,79,100,14.47
88,Berlevag,NO,2020-11-22 17:20:23,70.86,29.09,30.2,86,75,8.05
89,Flinders,AU,2020-11-22 17:20:23,-34.58,150.86,71.01,86,89,5.01
90,Paka,MY,2020-11-22 17:20:24,4.64,103.44,78.8,94,90,3.36
91,Katsuura,JP,2020-11-22 17:20:24,35.13,140.3,68.0,68,75,17.22
92,Dikson,RU,2020-11-22 17:20:24,73.51,80.55,15.62,95,68,14.23
93,Nadym,RU,2020-11-22 17:20:24,65.53,72.52,12.24,96,0,10.25
94,Tiksi,RU,2020-11-22 17:20:24,71.69,128.87,-5.24,90,69,5.79
95,Mount Gambier,AU,2020-11-22 17:20:24,-37.83,140.77,57.2,93,90,12.75
96,Hermanus,ZA,2020-11-22 17:20:24,-34.42,19.23,63.0,83,66,9.37
97,Makokou,GA,2020-11-22 17:20:24,0.57,12.86,73.6,92,59,3.51
98,Reconquista,AR,2020-11-22 17:20:12,-29.15,-59.65,88.92,32,0,10.58
99,Lumding,IN,2020-11-22 17:20:25,25.75,93.17,60.8,94,30,1.68
100,Coxim,BR,2020-11-22 17:20:25,-18.51,-54.76,98.8,19,0,4.88
101,Alibag,IN,2020-11-22 17:20:25,18.64,72.88,80.6,61,4,3.53
102,Esperance,AU,2020-11-22 17:20:25,-33.87,121.9,53.6,87,20,5.82
103,Port Hardy,CA,2020-11-22 17:20:25,50.7,-127.42,44.6,93,90,9.17
104,Antofagasta,CL,2020-11-22 17:17:40,-23.65,-70.4,64.4,63,40,12.75
105,Manali,IN,2020-11-22 17:20:26,13.17,80.27,80.6,83,40,3.36
106,Victoria,HK,2020-11-22 17:18:01,22.29,114.16,75.99,84,11,3.0
107,Beyneu,KZ,2020-11-22 17:20:26,45.32,55.2,32.13,87,100,12.91
108,Mahebourg,MU,2020-11-22 17:20:26,-20.41,57.7,75.2,88,75,10.29
109,Vardo,NO,2020-11-22 17:20:26,70.37,31.11,30.2,92,90,16.11
110,Tateyama,JP,2020-11-22 17:20:26,34.98,139.87,70.0,68,75,17.22
111,Meulaboh,ID,2020-11-22 17:20:26,4.14,96.13,76.84,77,100,9.08
112,Linares,CL,2020-11-22 17:19:16,-35.85,-71.6,80.4,21,100,7.61
113,Bethel,US,2020-11-22 17:20:27,41.37,-73.41,43.0,60,90,8.05
